id|标题|年份|一句话|图片文件名(序号:名)
neo|农业革命|-9500|学会种地,人类第一次能囤积盈余——城市、阶级、文字的总开关。|0:Maler_der_Grabkammer_des_Sennudem_001.jpg ;; 1:Evolution_of_temperature_in_the_Post-Glacial_period_according_to_Greenland_ice_cores.jpg ;; 2:Composite_Sickles_for_Cereal_Harvesting_at_23,000-Years-Old_Ohalo_II,_Israel.jpg
sumer|苏美尔城邦|-3500|人类最早的城市与国家,把余粮变成王权、神庙与官僚。|0:Sumer_Dynasty.svg ;; 1:Plaquet_pendant-AO_7702-IMG_9153-gradient.jpg ;; 2:Ur-Nassiriyah.jpg
cunei|楔形文字|-3200|把语言钉进泥板,知识第一次能跨越人的寿命累积。|0:Babylonlion.JPG ;; 1:Cuneiform_script2.jpg ;; 2:Tontäfelchen_Mesopotamien_3200vChr_1.jpg
hammu|汉谟拉比法典|-1754|把王权写成成文法——治理开始依赖规则,而非某个人的心情。|0:F0182_Louvre_Code_Hammourabi_Bas-relief_Sb8_rwk.jpg ;; 1:Codice_di_hammurabi_01.JPG ;; 2:CodeOfHammurabi.jpg
phoen|腓尼基字母|-1050|二十二个符号让书写平民化,几乎所有西方文字的共同祖先。|0:Phoenician_alphabet.svg
judaism|犹太教 · 一神信仰|-1200|一个民族押注唯一的神与圣约,写下影响半个地球的道德叙事。|0:Ohel_leah_hk.jpg
buddha|佛教 · 释迦牟尼|-528|关于苦与解脱的处方,后来沿商路传遍整个亚洲。|0:Dharma_Wheel.svg ;; 1:Gandhara_Buddha_(tnm).jpeg ;; 2:Diksha_Bhumi.jpg
confucius|儒家 · 孔子|-500|把伦理与秩序立为文明的操作系统,塑造东亚两千年。|0:EmperorShun.jpg ;; 1:Konfuzius-1770.jpg ;; 2:Dong_zhongshu.jpg
laozi|道家 · 老子|-500|无为而治、道法自然——对秩序哲学的另一种回答。|0:Mawangdui_LaoTsu_Ms2.JPG
socrates|希腊哲学 · 苏格拉底—柏拉图—亚里士多德|-380|把"如何思考"本身变成学问,西方哲学的地基。|0:"The_School_of_Athens"_by_Raffaello_Sanzio_da_Urbino.jpg ;; 1:Sanzio_01_cropped.png
athens|雅典民主|-508|公民抽签议政,"人民统治"第一次成为制度实验。|0:Discurso_funebre_pericles.PNG ;; 1:Constitution-of-the-Athenians-in-the-4th-century-BC.png ;; 2:Pnyx.jpg
persia|波斯帝国|-539|第一个横跨三洲的多民族帝国,宽容治理的早期样板。|0:Standard_of_Cyrus_the_Great.svg ;; 1:Persepolis_24.11.2009_11-12-14.jpg ;; 2:Imperial_Eagle_(Aquila_heliaca)_(38741311735).jpg
rome|罗马|-27|法律、道路、公民权——一套可复制的治理与工程模板。|0:Roman_SPQR_banner.svg ;; 1:1770_Janvier_Map_of_Italy_-_Geographicus_-_Italy-janvier-1770.jpg ;; 2:Die_sieben_Hügel_Roms.png
paper|造纸术 · 蔡伦|105|廉价的信息载体,最终点燃印刷与全民识字。|0:Cai-lun.jpg ;; 1:Cai-lun.jpg ;; 2:Chinese_hemp_paper_western_han.jpg
christ|基督教|33|从边缘教派到罗马国教,再到整个西方的精神底色。|0:Gutenberg_Bible,_Lenox_Copy,_New_York_Public_Library,_2009._Pic_01.jpg ;; 1:Jesus-Christ-from-Hagia-Sophia.jpg
maya|玛雅文明|250|独立发明了文字、历法与"零"——文明会各自趋同。|0:Mayamap.png ;; 1:Kaminaljuyu_7.jpg ;; 2:El_Mirador_5.jpg
eco_maya_cacao|可可豆货币 · 玛雅市场|250|一颗可可豆能当钱花,也能被剥皮造假,中美洲市场很早就有了通胀与假币。|0:Mayamap.png ;; 1:Kaminaljuyu_7.jpg ;; 2:El_Mirador_5.jpg
pol_maya_polity|玛雅城邦体系|250|从没统一过的文明:几十个玛雅王城靠联姻和战争互相较劲。|0:Mayamap.png ;; 1:Kaminaljuyu_7.jpg ;; 2:El_Mirador_5.jpg
islam|伊斯兰教 · 穆罕默德|622|一场宗教,同时也是一个帝国与文明的引擎。|0:Supplicating_Pilgrim_at_Masjid_Al_Haram._Mecca,_Saudi_Arabia.jpg ;; 1:Quran_cover.jpg ;; 2:Istanbul,_Hagia_Sophia,_Allah.jpg
examsys|科举制|605|以考试选官,一个早熟的精英流动机制。|0:Palastexamen-SongDynastie-Kaiser.jpg ;; 1:Militärexamen.jpg ;; 2:Civilserviceexam1.jpg
housewisdom|伊斯兰黄金时代 · 智慧宫|800|翻译希腊与印度典籍,代数、光学、医学在此续命并跃进。|0:Libr0310.jpg ;; 1:Al-Jaahith_-_African_Arab_Naturalist_-_Basra_-_al_jahiz.jpg ;; 2:Al-jazari_robots.jpg
chan|禅宗|600|佛教与道家在中国的合流,直指人心。|0:Bodhidharma.and.Huike-Sesshu.Toyo.jpg ;; 1:Bodhidarma.jpg ;; 2:Dai_Jin._Six_Patriarchs_of_Chan._Liaoning_Provincial_Museum..jpg
songeco|宋代商业革命|1023|世界最早的纸币"交子",一场没有工业的近世繁荣。|0:Jiao_zi.jpg ;; 1:Jiao_zi.jpg
mongol|蒙古帝国 · 成吉思汗|1206|史上最大陆地帝国,打通欧亚,也修好了黑死病的高速路。|0:Mongolia_9_suldes.png ;; 1:Chinggis_Khaan_statue_Complex.jpg ;; 2:YuanEmperorAlbumGenghisPortrait.jpg
