id|标题|领域|年份|一句话
ooa|走出非洲|ren|-70000|一个物种离开非洲,一部全球史就此起步。
neo|农业革命|eco|-9500|学会种地,人类第一次能囤积盈余——城市、阶级、文字的总开关。
sumer|苏美尔城邦|pol|-3500|人类最早的城市与国家,把余粮变成王权、神庙与官僚。
cunei|楔形文字|sci|-3200|把语言钉进泥板,知识第一次能跨越人的寿命累积。
hammu|汉谟拉比法典|pol|-1754|把王权写成成文法——治理开始依赖规则,而非某个人的心情。
phoen|腓尼基字母|sci|-1050|二十二个符号让书写平民化,几乎所有西方文字的共同祖先。
judaism|犹太教 · 一神信仰|rel|-1200|一个民族押注唯一的神与圣约,写下影响半个地球的道德叙事。
thales|自然哲学 · 米利都|sci|-600|第一次不靠神话、而用"本原"解释世界——科学的胚胎。
buddha|佛教 · 释迦牟尼|rel|-528|关于苦与解脱的处方,后来沿商路传遍整个亚洲。
confucius|儒家 · 孔子|phi|-500|把伦理与秩序立为文明的操作系统,塑造东亚两千年。
laozi|道家 · 老子|phi|-500|无为而治、道法自然——对秩序哲学的另一种回答。
socrates|希腊哲学 · 苏格拉底—柏拉图—亚里士多德|phi|-380|把"如何思考"本身变成学问,西方哲学的地基。
athens|雅典民主|pol|-508|公民抽签议政,"人民统治"第一次成为制度实验。
persia|波斯帝国|pol|-539|第一个横跨三洲的多民族帝国,宽容治理的早期样板。
rome|罗马|pol|-27|法律、道路、公民权——一套可复制的治理与工程模板。
paper|造纸术 · 蔡伦|sci|105|廉价的信息载体,最终点燃印刷与全民识字。
christ|基督教|rel|33|从边缘教派到罗马国教,再到整个西方的精神底色。
maya|玛雅文明|sci|250|独立发明了文字、历法与"零"——文明会各自趋同。
islam|伊斯兰教 · 穆罕默德|rel|622|一场宗教,同时也是一个帝国与文明的引擎。
examsys|科举制|pol|605|以考试选官,一个早熟的精英流动机制。
housewisdom|伊斯兰黄金时代 · 智慧宫|sci|800|翻译希腊与印度典籍,代数、光学、医学在此续命并跃进。
university|大学的诞生|sci|1150|知识第一次拥有了自我复制的制度。
scholastic|经院哲学 · 阿奎那|phi|1265|用亚里士多德重装神学,理性与信仰第一次正式握手。
chan|禅宗|rel|600|佛教与道家在中国的合流,直指人心。
neoconf|宋明理学|phi|1175|儒家的形上学升级,统摄东亚思想到近代。
songeco|宋代商业革命|eco|1023|世界最早的纸币"交子",一场没有工业的近世繁荣。
mongol|蒙古帝国 · 成吉思汗|pol|1206|史上最大陆地帝国,打通欧亚,也修好了黑死病的高速路。
printing_song|活字印刷 · 毕昇|sci|1040|活字问世,信息复制成本再次崩塌。
renaissance|文艺复兴|art|1450|重新发现古典,人成为万物的尺度。
gutenberg|古腾堡印刷术|sci|1450|金属活字让思想以病毒速度传播——宗教改革与科学革命的助燃剂。
reformation|宗教改革 · 马丁·路德|rel|1517|一张抗议贴上教堂门,基督教世界从此分裂,个人直面上帝。
scirev|科学革命 · 哥白尼—伽利略—牛顿|sci|1687|用数学与实验改写宇宙,知识的权威从教会转向自然。
westphalia|威斯特伐利亚体系|pol|1648|现代主权国家体系的出生证。
enlighten|启蒙运动|phi|1750|理性、自由、进步——一套至今仍在争论的现代价值操作系统。
smith|《国富论》 · 亚当·斯密|eco|1776|看不见的手,把自利讲成公共繁荣的引擎——资本主义的圣经。
industrial|工业革命|eco|1769|蒸汽与工厂,人类第一次挣脱农业增长的天花板。
amrev|美国革命|pol|1776|把启蒙理念写成一份建国文件。
frrev|法国大革命|pol|1789|自由平等博爱与断头台,现代政治的原型剧。
napcode|拿破仑法典|pol|1804|把革命成果固化为一部可输出的民法典。
romantic|浪漫主义|art|1800|对启蒙理性的反弹,歌颂情感、自然与民族。
darwin|进化论 · 达尔文|sci|1859|自然选择,把人类拉回生命之树——一场神学地震。
marx|马克思主义 · 《资本论》|phi|1867|把历史读成阶级斗争,一套预言,和一场持续百年的实验。
maxwell|电磁学 · 法拉第—麦克斯韦|sci|1865|把电与磁写成方程,第二次工业革命的地基。
relativity|相对论与量子力学|sci|1905|时空可弯、能量成块,经典世界观崩塌。
freud|精神分析 · 弗洛伊德|phi|1900|把"潜意识"带进现代人的自我认知。
