id|标题|领域|年份|已有links(+分隔)
sci_lomekwi|洛迈奎石器|sci|-3300000|sci_oldowan
sci_oldowan|奥杜威石器工业|sci|-2600000|
art_blombos|布隆伯斯洞穴刻纹|art|-75000|ooa
ooa|走出非洲|ren|-70000|neo
ren_first_australians|澳大利亚原住民定居|ren|-65000|
ren_neanderthal_admix|尼安德特人遗传印记|ren|-50000|
ren_denisovan|丹尼索瓦人混血|ren|-40000|ren_first_australians
art_chauvet|肖维岩洞壁画|art|-30000|
ren_pygmy|中非俾格米人|ren|-20000|
art_lascaux|拉斯科洞窟壁画|art|-17000|
ren_first_americans|美洲首批居民|ren|-15000|ren_mestizo
art_altamira|阿尔塔米拉洞窟壁画|art|-14500|
ren_natufian|纳图夫人定居|ren|-12000|neo
art_jomon|绳纹陶器|art|-10000|
art_aboriginal|澳洲原住民岩画|art|-10000|
rel_gobekli|哥贝克力石阵|rel|-9600|neo
neo|农业革命|eco|-9500|sumer+bantu_a+pol_egypt_kingship+sci_egypt_calendar
ren_jericho|杰里科塔楼聚落|ren|-9000|
art_san_rock|南非桑人岩画|art|-8000|
ren_catalhoyuk|加泰土丘|ren|-7100|
ren_papuan_highland|巴布亚高地农人|ren|-7000|
art_tassili|阿杰尔高原岩画|art|-6000|
sumer|苏美尔城邦|pol|-3500|cunei+hammu
arc_indoeuropean|印欧语系西迁(弧)|ren|-3300|
cunei|楔形文字|sci|-3200|phoen+hammu
pol_egypt_kingship|古埃及法老神王制|pol|-3100|art_egypt_tomb+rel_egypt_afterlife
eco_money_origin|货币起源 · 美索不达米亚银本位|eco|-3000|eco_lydia_coin
arc_austronesian|南岛语族扩散(弧)|ren|-3000|art_maori
sci_egypt_calendar|古埃及历法|sci|-2900|
art_egypt_tomb|古埃及墓室壁画|art|-2600|
eco_indus_weights|度量衡 · 印度河谷标准化|eco|-2600|eco_periplus_indian_ocean
sci_indus_script|印度河谷印章文字|sci|-2600|
eco_pyramid_labor_economy|金字塔劳役经济 · 古埃及动员|eco|-2560|
art_indus_seals|印度河印章|art|-2500|
rel_stonehenge|巨石阵|rel|-2500|
rel_egypt_afterlife|来世信仰 · 古埃及|rel|-2400|
pol_akkad|阿卡德帝国|pol|-2334|hammu
pol_ur3|乌尔第三王朝|pol|-2112|hammu
ren_khoisan|科伊桑人|ren|-2000|bantu_a
sci_babylon_sexagesimal|六十进制记数法 · 巴比伦|sci|-1800|
hammu|汉谟拉比法典|pol|-1754|
art_qin_bronze|商周青铜器|art|-1600|
